PREDICATION_ID,PMID,PREDICATE,INDICATOR_TYPE,PREDICATE_START_INDEX,PREDICATE_END_INDEX,SUBJECT_TEXT,SUBJECT_SEMTYPE,SUBJECT_START_INDEX,SUBJECT_END_INDEX,SUBJECT_SCORE,SUBJECT_DIST,SUBJECT_MAXDIST,SUBJECT_CUI,SUBJECT_NOVELTY,OBJECT_TEXT,OBJECT_SEMTYPE,OBJECT_START_INDEX,OBJECT_END_INDEX,OBJECT_SCORE,OBJECT_DIST,OBJECT_MAXDIST,OBJECT_CUI,OBJECT_NOVELTY,TYPE,SENTENCE,LABEL
P3682,2937708,INTERACTS_WITH,NOM,1450,1457,RNase,aapp,1487,1492,1000,2,5,C0014241,1,lysine,aapp,1477,1483,901,1,5,C0024337,1,ab,"Phosphate, known to       inhibit binding to the active site lysine of RNase, prevented the inhibition of       catalytic activity caused by adduct formation.",n
P3683,456345,STIMULATES,INFER,1048,1066,albumin,aapp,961,968,1000,0,0,C0001924,1,bicarbonate,inch,1048,1059,888,0,0,C0005367,1,ab,"In the presence of       albumin, the norepinephrine-induced rate of oxygen consumption is also stable in       bicarbonate buffer; it is higher than in the phosphate + CO2 buffer and the brown       fat cells have a higher sensitivity to norepinephrine.",n
P3684,8821809,INHIBITS,NOM,898,907,BN 50548,orch,886,894,1000,1,5,C0292784,1,proteinases,gngm,921,932,888,1,1,C0030940,1,ab,"In a rabbit model of acute       crystal arthritis, we have compared the anti-inflammatory effect of two new       molecules: BN 50727 with anti-PAF activity, and BN 50548 an inhibitor of PMN       proteinases.",y
P3685,940983,INTERACTS_WITH,VERB,711,716,folate,orch,676,682,1000,2,4,C0178638,1,albumin,aapp,720,727,1000,1,1,C0001924,1,ab,"In human blood plasma at       concentrations of less than 10(-5) mol/1, 50% of folate was free, and 50% was       bound to albumin.",n
P3686,8869823,INTERACTS_WITH,NOM,256,267,carboxylic acids,orch,348,364,901,4,4,C0007066,1,Glycine,aapp,248,255,888,0,0,C0017890,1,ab,Glycine conjugation is an important route of detoxification of many xenobiotic       and endogenous carboxylic acids.,n
P3687,9114822,INTERACTS_WITH,VERB,537,544,cytochrome P-450 reductase,aapp,497,523,1000,1,4,C0027310,1,ethanol,orch,545,552,1000,1,6,C0001962,1,ab,"The MEOS was purified and reconstituted using 2E1,       phospholipids, and cytochrome P-450 reductase and shown to oxidize ethanol to       acetaldehyde, mainly as a monooxygenase and secondarily via hydroxyl radicals,       with transcriptional and posttranscriptional regulation.",n
P3688,7347556,INTERACTS_WITH,NOM,285,292,tylosin,antb,372,379,1000,4,11,C0041441,1,inorganic phosphate,inch,323,342,1000,2,11,C0031603,1,ab,"The effects of increased concentration of inorganic phosphate on the biosynthesis       of tylosin, the level of the intracellular adenylates, the energy charge, and the       activities of enzymes involved in the synthesis of tylonolide precursors were       studied in Streptomyces fradiae NRRL 2702.",y
P3689,7902338,INHIBITS,VERB,1658,1667,CNQX,orch,1679,1683,1000,2,2,C0099122,1,L-Glu,gngm,1606,1611,1000,3,3,C0220839,1,ab,"L-Glu       and KA induced 45Ca2+ influx, which was decreased by KYN and CNQX.",n
P3690,7544272,INHIBITS,VERB,3048,3055,activin-binding       proteins,aapp,3004,3034,988,1,3,C0060623,1,activin,aapp,3074,3081,1000,2,6,C0050668,1,ab,The finding that both activin-binding       proteins and antibody inhibit the expression of activin A in cultured decidual       cells suggests that activin regulates its own gene expression in the       decidua.,y
P3691,4002199,STIMULATES,ADJ,530,540,malondialdehyde,orch,485,500,888,1,6,C0024643,1,glutathione,gngm,628,639,1000,3,6,C0017817,1,ab,"The inhibitions of aggregation       of platelet-rich plasma (PRP) and washed platelets, and of malondialdehyde       production in thrombin-stimulated platelets by KF4939 were counteracted by       pretreatment with sulfhydryl compounds, glutathione, 1-cysteine and       dithiothreitol.",n
P3692,58579,STIMULATES,VERB,366,374,L-valine,aapp,378,386,734,1,5,C0042285,1,actinomycin C,gngm,352,365,824,1,3,C0054404,1,ab,"Transport of L-valine by Actinomyces species 26-115, an organism producing       actinomycin C depended on L-valine concentration in the medium and temperature       and required a source of intrinsic energy.",n
P3693,4744402,STIMULATES,ADJ,841,850,alpha-isopropylmalate,orch,814,835,1000,1,6,C0051386,1,valine,gngm,922,928,1000,2,5,C0042285,1,ab,"The intermediate level of enzyme       production by these leu-3(cc) mutants is independent of the obligatory inducer       effector, alpha-isopropylmalate, but dependent upon the presence of the       branched-chain amino acids, isoleucine, valine and leucine.",n
P3694,1361564,STIMULATES,VERB,1065,1076,ATP,phsu,1010,1013,1000,3,6,C0001480,1,Suramin,orch,928,935,1000,6,6,C0038880,1,ab,"Suramin (60 microM) also       discriminated between the contractile responses to ATP and nerve stimulation,       only the former being potentiated by the drug.",n
P3695,2196967,INTERACTS_WITH,NOM,1671,1680,VIP,aapp,1662,1665,916,1,2,C0042395,1,NEP,aapp,1698,1701,901,1,4,C0025250,1,ab,"These data indicate that exogenous VIP is a substrate       for airway NEP, since inhibition of the enzyme potentiates the peptide.",n
P3696,3462,INHIBITS,NOM,1358,1370,thermolysin,aapp,1374,1385,1000,1,5,C0039815,1,proteolytic,aapp,1346,1357,888,0,2,C0030946,1,ab,The snail inhibitor is less stable       against proteolytic inactivation by thermolysin and against thermal denaturation       at pH 8.0 than the inhibitor from bovine organs (Kunitz inhibitor).,n
P3697,8979152,INHIBITS,NOM,1129,1137,TGF-beta,aapp,1010,1018,1000,3,4,C0040690,1,iNOS,aapp,1155,1159,888,1,2,C0669372|4843,1,ab,Results demonstrated that TGF-beta significantly       inhibited NO synthesis and that this inhibition was associated with a       proportionate decrease in iNOS mRNA and iNOS protein.,y
P3698,7507787,INTERACTS_WITH,NOM,161,171,Alcohol,orch,153,160,694,0,0,C0001962,1,receptor,aapp,188,196,758,1,2,C0597357,1,ti,Alcohol modulation of cloned GABAA receptor-channel complex expressed in human       kidney cell lines.,n
P3699,7332440,INTERACTS_WITH,VERB,1397,1407,somatomedin,aapp,1326,1337,1000,2,7,C0037657,1,cortisol,horm,1442,1450,1000,2,3,C0020268,1,ab,"These data establish than in children operated for       craniopharyngioma, growth is related to a generation of somatomedin independent       of growth hormone secretion, and closely controlled by endogenous secretions of       cortisol and thyroid hormones.",n
P3700,2458111,INTERACTS_WITH,NOM,990,997,ethanol,orch,1132,1139,1000,6,7,C0001962,1,flunitrazepam,orch,976,989,694,0,2,C0016296,1,ab,"In detergent solubilized receptors, the GABA-stimulation of       flunitrazepam binding emerged only in the presence of ethanol in most AT samples,       whereas the GABA-stimulation was always observed in ANT samples and ethanol had       no further effect.",y
P3701,7540956,INTERACTS_WITH,NOM,360,370,L-14C-arginine,aapp,374,388,913,1,5,C0003765,1,L-14C-citrulline,aapp,392,408,913,2,5,C0008864,1,ab,"OBJECTIVE: Inducible nitric oxide synthase (iNOS) activity, as measured by       conversion of L-14C-arginine to L-14C-citrulline is significantly increased in       infarcted rabbit myocardium as compared to healthy myocardium 48 h after coronary       occlusion.",n
P3702,481963,INHIBITS,NOM,148,158,branched-chain amino acid,aapp,193,218,928,2,2,C0002521,1,glycine cleavage system,aapp,166,189,1000,1,2,C0082730,1,ti,Inhibition of the glycine cleavage system by branched-chain amino acid       metabolites.,y
P3703,951375,INHIBITS,VERB,421,428,amino acids,aapp,380,391,1000,2,7,C0002520,1,inorganic sulphate,inch,444,462,1000,2,2,C0038720,1,ab,"In two experiments with 0-5 weeks old broiler chicks in battery-cages, it was       examined whether the requirements for sulphur-containing amino acids in the       ration could be reduced by addition of inorganic sulphate.",n
P3704,7748267,INTERACTS_WITH,ADJ,566,574,aspartate,aapp,540,549,1000,2,6,C0085845,1,NMDA,aapp,551,555,1000,1,2,C0079883,1,ab,"The present study investigated the effect of ethanol withdrawal on       N-methyl-D-aspartate (NMDA) receptor-mediated postsynaptic potentials and on       voltage-gated calcium currents, in mouse hippocampal pyramidal cells.",n
P3705,6131443,INHIBITS,VERB,752,759,talinolol,orch,698,707,1000,2,3,C0075783,1,oxidases,gngm,781,789,861,1,1,C0242417,1,ab,"The results       obtained show that talinolol, like the other beta-receptor blockers, can inhibit       polyfunctional oxidases.",y
P3706,8628273,INTERACTS_WITH,VERB,650,664,tyrosine,aapp,635,643,1000,1,3,C0041485,1,IFNaR1,aapp,665,671,1000,1,2,C1334081|3454,1,ab,Previous studies       have demonstrated that TYK2 directly and specifically binds to and tyrosine       phosphorylates IFNaR1 in vitro.,y
P3707,1405576,INTERACTS_WITH,VERB,891,899,oxidized glutathione,aapp,831,851,1000,3,5,C0061516,1,glutathione,aapp,909,920,888,1,4,C0017817,1,ab,"However, increasing exercise       intensity resulted in tissue accumulation of oxidized glutathione, and an       increase in the ratio of oxidized to total glutathione, indicative of an elevated       level of intracellular oxidation.",n
P3708,776234,INHIBITS,VERB,987,997,ethylenediamine,orch,953,968,790,2,4,C0015091,1,chymosin,gngm,1004,1012,1000,1,6,C0035100,1,ab,"Coloured inhibitor of acid proteases,       N-diazoacetyl-N'-2,4-dinitrophenyl-ethylenediamine (DDE) is found to inactivate       chymosin at pH 5,6 in the presence of Cu2+,one residue of the inhibitor being       attached to the enzyme molecule.",y
P3709,6783064,INHIBITS,INFER,556,590,Sodium citrate,orch,556,570,901,0,0,C0142825,1,proteolytic,gngm,604,615,872,0,0,C0030946,1,ab,"Sodium citrate       anticoagulant, cold, and a proteolytic inhibitor were used in sample processing.",n
P3710,7138807,INTERACTS_WITH,VERB,1072,1077,lysine,aapp,1059,1065,901,1,2,C0024337,1,pyridoxal phosphate,orch,1078,1097,1000,1,7,C0034266,1,ab,"Therefore the epsilon-NH2 group of the       active-site lysine which binds pyridoxal phosphate is capable of interacting with       the beta carbon of trifluoroalanine, and presumably the beta carbon of normal       substrates.",y
P3711,9161609,INTERACTS_WITH,NOM,414,421,aspartate,aapp,336,345,1000,3,4,C0085845,1,ethanol,orch,425,432,1000,1,5,C0001962,1,ab,"N-methyl-D-aspartate (NMDA) antagonists substitute for the discriminative       stimulus effects of ethanol, indicating that a component of ethanol's behavioral       activity is produced via blockade of NMDA receptor/channel function.",n
P3712,6085648,INHIBITS,VERB,1634,1643,5-hydroxytryptophan,aapp,1604,1623,1000,1,31,C0000578,1,pargyline,orch,1650,1659,1000,1,1,C0030557,1,ab,"The changes in the oxidation potentials and the amplitudes of peaks       2 and 3 corresponded to those of 3,4-dihydroxyphenylacetic acid (DOPAC) and       5-hydroxyindoleacetic acid (5-HIAA) in vivo because: the oxidation potentials of       peak 2 (+ 120 mV) and peak 3 (+ 270 mV) coincided with those of DOPAC and 5-HIAA       in vitro; increases in the heights of peaks 2 and 3 were observed after       micro-infusion of DOPAC and 5-HIAA, respectively, into the striatum; and peak 2       height increased after injection of haloperidol and gamma-butyrolactone and       decreased after amphetamine and pargyline, while peak 3 amplitude increased       following injection of gamma-butyrolactone, probenecid and 5-hydroxytryptophan       and decreased after pargyline.",n
P3713,9065664,STIMULATES,NOM,445,456,water,inch,561,566,861,3,5,C0043047,1,Hot water,inch,429,438,901,0,0,C0337023,1,ab,"Hot water       stimulation of the contralateral labyrinth produced excitation in 29.4% of the       PVN neurons tested, while cold water produced excitation in 22.2% of the neurons.",n
P3714,448240,INTERACTS_WITH,NOM,254,264,retinol,orch,268,275,1000,1,2,C0042839,1,anhydroretinol,orch,279,293,1000,2,2,C0051905,1,ti,Retinoid metabolism in spontaneously transformed mouse fibroblasts (Balb/c 3T12-3       cells): enzymatic conversion of retinol to anhydroretinol.,n
P3715,8923830,STIMULATES,ADJ,612,621,Insulin-like growth       factor I,aapp,552,586,1000,2,2,C0021665,1,collagen,gngm,695,703,888,2,4,C0009325,1,ab,"Insulin-like growth       factor I (IGF-I), a nutritionally dependent bone trophic hormone, is know to       stimulate osteoblast function and collagen synthesis in vivo and in vitro.",y
P3716,4031389,INHIBITS,ADJ,1144,1151,iodide,inch,1085,1091,1000,2,4,C0021966,1,tyrosine,gngm,1210,1218,861,1,2,C0041485,1,ab,There was no difference in peroxidase affinity for iodide in the oxidation       reaction but a significantly reduced ability to iodinate in vitro thyroglobulin       and free tyrosine.,n
P3717,8155646,STIMULATES,ADJ,818,827,immunoglobulins,phsu,734,749,802,3,8,C0021027,1,G-protein alpha-subunits,gngm,188,212,902,1,3,C0887847,1,ab,Subsequent solubilization and immunoprecipitation of the membranes with       anti-G(i)alpha-2 or anti-G(i)alpha-3 immunoglobulins revealed that full and       partial agonists produce concentration-dependent labeling of the respective       G-proteins with [32P]-AA-GTP.,n
P3718,8097237,INHIBITS,VERB,1762,1769,Ca2,gngm,1737,1740,660,1,5,760,1,Glu,gngm,1776,1779,851,1,3,C0220839,1,ab,"Both the basal and NMDA-stimulated Glu       levels were enhanced following TTX treatment, whereas perfusion with a low Ca2+       concentration reduced basal Glu levels and enhanced and prolonged the       NMDA-induced stimulation.",n
P3719,16662856,INTERACTS_WITH,VERB,1083,1094,glutamate,aapp,886,895,1000,4,5,C0017789,1,azaserine,aapp,1111,1120,1000,2,13,C0004480,1,ab,"There was       little alteration in the amino acid and ammonia levels in the shoot, suggesting       that MSO is not rapidly transported.The addition of azaserine (25 micrograms per       milliliter) to nitrate-grown plants caused a rapid increase in root ammonia,       glutamine, and serine levels with a corresponding decrease in glutamate,       aspartate, and alanine.",y
P3720,7722866,STIMULATES,VERB,741,747,Melatonin,horm,684,693,1000,2,2,C0025219,1,TNF,gngm,769,772,1000,2,10,C0812246|7124,1,ab,Melatonin at physiological concentrations       fails to induce production of IFN or TNF by PBMC in culture but causes a       dose-related inhibition of production of both cytokines if the PBMC are       stimulated with phytohaemagglutinin.,n
P3721,12025780,STIMULATES,ADJ,845,854,L-DOPA,aapp,838,844,861,1,3,C0023570,1,GZR-123,phsu,862,869,1000,1,2,C0910604,1,ab,"At a dose 1250 times the ED50 for apomorphine and       L-DOPA dependent tests, GZR-123 did not cause acute toxicity and did not provoke       catalepsy.",n
P3722,974147,INTERACTS_WITH,VERB,957,969,butyrobetaine,orch,940,953,888,1,1,C0061030,1,carnitine,aapp,973,982,1000,1,7,C0007258,1,ab,The       intracellular butyrobetaine is hydroxylated to carnitine with a rate of       approximately 0.33 mumol-g wet weight-1-h-1 which is sufficient to cover the turn       over of carnitine in the whole rat.,y
P3723,1541673,INTERACTS_WITH,NOM,230,241,glutathione,aapp,198,209,1000,1,2,C0017817,1,H2O2,inch,285,289,1000,2,2,C0020281,1,ti,Tumor necrosis factor-alpha-mediated decrease in glutathione increases the       sensitivity of pulmonary vascular endothelial cells to H2O2.,y
P3724,2857770,STIMULATES,NOM,1124,1132,glutamine,aapp,1065,1074,1000,2,6,C0017797,1,aspartate,gngm,1136,1145,1000,1,1,C0085845,1,ab,"In 1H spectra acquired during the same       time interval, the resonances of glutamate and glutamine decreased in intensity       while a progressive increase in aspartate was observed.",n
P3725,8361076,STIMULATES,NOM,1554,1562,esterase,aapp,1465,1473,888,3,10,C0014894,1,albumin,gngm,1570,1577,888,1,4,C0001924,1,ab,"In all 3 groups,       the indices of rapid turnover proteins (pre-albumin, retinol binding protein and       transferrin), choline esterase and vitamin A significantly elevated after 2 weeks       of therapy, though the increase of pre-albumin and RBP in TPN group was slightly       below the significant level.",n
P3726,9374727,STIMULATES,VERB,193,204,inducible nitric oxide       synthase,aapp,210,247,1000,1,2,C0669372|4843,1,superoxide dismutase,gngm,169,189,901,1,1,C0038838,1,ti,Extracellular superoxide dismutase is upregulated with inducible nitric oxide       synthase after NF-kappa B activation.,y
P3727,10391142,INTERACTS_WITH,NOM,1719,1734,threonine,aapp,1703,1712,833,0,1,C0040005,1,insulin receptor,aapp,1742,1758,1000,1,5,C0034818|3643,1,ab,These findings suggest that excessive serine/threonine       phosphorylation of the insulin receptor in obese Zucker rats may be a cause for       insulin resistance in skeletal muscle.,y
P3728,1349279,INHIBITS,VERB,1231,1240,GLU,aapp,1193,1196,1000,3,9,C0220839,1,ACTH,aapp,1241,1245,1000,1,2,C0001655|5443,1,ab,"GLU at 12 sites in the region of the       ventrorostral LC facilitated plasma ACTH (P less than 0.01), whereas GLU at 6       sites in the caudal LC inhibited ACTH (P less than 0.05).",y
P3729,1379698,INTERACTS_WITH,VERB,1297,1310,tyrosine,aapp,1288,1296,1000,1,5,C0041485,1,PLC gamma,aapp,1311,1320,1000,1,3,C0250414,1,ab,Here       we show that an FGF receptor point mutant in which Tyr 766 is replaced by a       phenylalanine residue (Y766F) is unable to associate with and       tyrosine-phosphorylate PLC gamma or to stimulate hydrolysis of       phosphatidylinositol.,n
P3730,6301639,STIMULATES,NOM,387,395,GABA transaminase,aapp,341,358,1000,1,2,C0002543,1,GABA,gngm,399,403,888,1,12,C0016904,1,ab,"Inhibition of GABA transaminase which led to a several-fold increase of GABA       levels in the goldfish optic tectum or diazepam pre-treatment, were unable to       protect tectal neurons from kainic acid neurotoxicity, as judged by light and       electron microscopic observations and by the drop of marker enzymes for       neurotransmitters.",n
P3731,7957257,INHIBITS,NOM,1305,1315,antioxidants,phsu,1083,1095,1000,9,14,C0003402,1,kinases,gngm,1355,1362,888,2,2,C0031727,1,ab,"Hepa-1 cells stably       transformed with hARE-tk-chloramphenicol acetyl transferase (CAT) recombinant       plasmid were used to demonstrate that, in addition to beta-naphthoflavone, a       variety of antioxidants, tumor promoters and hydrogen peroxide (H2O2) also       increased expression of hARE-mediated CAT gene. beta-naphthoflavone induction of       the CAT gene expression in Hepa-1 cells was found insensitive to inhibitors of       protein kinase C and tyrosine kinases.",n
P3732,16656834,STIMULATES,VERB,1165,1173,IAA,horm,1177,1180,1000,1,3,C0936060,1,Pectinase,gngm,917,926,1000,9,9,C0032491,1,ab,"Pectinase       was formed for about 2 days in control segments and IAA treatment resulted in       continued synthesis for at least another 2 days provided cell division took       place. beta-1,3-glucanase and pectinesterase activities were only enhanced by IAA       to the extent that total protein levels increased.",n
P3733,11452871,INTERACTS_WITH,NOM,334,347,EHT,gngm,248,251,1000,5,5,9139,1,proline,gngm,363,370,888,1,2,C0033382,1,ab,EHT and CNDO/2 types of calculations permit the interpretation of the course of       hydroxylation of collagenous proline and lysine.,n
P3734,6763931,STIMULATES,NOM,775,783,glycine,aapp,817,824,1000,2,3,C0017890,1,glucagon,gngm,793,801,888,1,3,C0017687|2641,1,ab,"With       perifused pancreas tissue from newborn lambs (5-9 days of age) glycine, L-serine,       L-asparagine, L-arginine and L-lysine caused a similar marked increase in       glucagon secretion with glycine having the greatest effect.",y
P3735,8340611,INHIBITS,VERB,1627,1635,diethyl maleate,orch,1605,1620,1000,1,2,C0057931,1,glutathione,gngm,1644,1655,888,1,2,C0017817,1,ab,This was confirmed       in experiments with diethyl maleate which depletes hepatic glutathione without       causing cell injury.,y
P3736,6812859,INTERACTS_WITH,NOM,159,166,prolactin,aapp,244,253,1000,3,5,C0033371,1,aspartate,aapp,182,191,775,1,5,C0085845,1,ti,Acute effects of N-methyl-DL-aspartate on the release of pituitary gonadotropins       and prolactin in the adult female rhesus monkey.,y
P3737,9182544,INHIBITS,ADJ,1287,1294,threonine,aapp,1213,1222,847,4,5,C0040005,1,agonist,phsu,1390,1397,1000,3,11,C0243192,0,ab,"However, whereas the wild-type FPR was phosphorylated on both serine and       threonine residues upon exposure to agonist and displayed a significantly reduced       ability to stimulate G protein-mediated GTP hydrolysis upon subsequent exposure       to agonist, DeltaST demonstrated a complete lack of phosphorylation and displayed       little alteration in its ability to stimulate G protein-mediated GTP hydrolysis       upon a subsequent exposure to agonist.",n
P3738,7835405,INTERACTS_WITH,NOM,1901,1909,CRBP,aapp,1913,1917,1000,1,3,C0007640,1,retinol,orch,1922,1929,1000,2,3,C0042839,1,ab,The distribution of retinol       between these two proteins was consistent with the nearly 100-fold higher       affinity of CRBP for retinol compared with IRBP.,y
P3739,5103885,INTERACTS_WITH,NOM,231,237,drugs,phsu,166,171,1000,2,3,C0013227,0,caffeine,orch,256,264,1000,1,5,C0006644,1,ti,"[Effects of some drugs on the metabolism of the skeletal muscles. 1. On the       effect of potassium ion, caffeine, catecholamine and ouabain on the muscle       respiration].",n
P3740,8194389,INHIBITS,VERB,1076,1084,catalase,aapp,1015,1023,1000,2,5,C0007367,1,hydroxyl radical,inch,1132,1148,1000,3,3,C0063146,1,ab,"For the role of oxygen radicals, superoxide dismutase       (SOD), catalase (CAT), and dimethylthiourea (DMTU) were employed to scavenge       superoxide anion, hydrogen peroxide, and hydroxyl radical, respectively.",y
P3741,3281025,STIMULATES,NOM,1355,1365,p76,gngm,1403,1406,1000,2,7,9375|196463,1,proteolytic,gngm,1373,1384,888,1,7,C0030946,1,ab,Endogenous activation of the proteolytic       activity of p76 appears to occur at the end of the schizogony and could initiate       a cascade of biochemical events associated with merozoite maturation.,n
P3742,6722219,INHIBITS,ADJ,664,673,alanine,aapp,652,659,1000,1,3,C0001898,1,tryptophan,aapp,749,759,1000,1,5,C0041249,1,ab,"SFD infants showed a high serum level of alanine and decreased       concentrations of branched chain amino acids, aspartate, cystine and tryptophan       at birth.",n
P3743,3320044,INHIBITS,VERB,1245,1252,dinitrobenzene,orch,1157,1171,861,1,5,C0012459,1,glutathione,gngm,1267,1278,888,1,4,C0017817,1,ab,"Compounds, such as       diamide, 1-chloro-2,4-dinitrobenzene, potassium ferricyanide, and methylene blue,       which are expected to deplete intracellular glutathione, caused the induction of       Mn superoxide dismutase in anaerobic E. coli.",y
P3744,127085,INTERACTS_WITH,NOM,143,154,inorganic phosphate,inch,241,260,1000,3,4,C0031603,1,mitochondrial ATPase,aapp,170,190,901,1,4,C0018437,1,ti,Interaction of homogeneous mitochondrial ATPase from rat liver with adenine       nucleotides and inorganic phosphate.,y
P3745,8598422,STIMULATES,NOM,1175,1183,very-low-density-lipoproteins,aapp,1335,1364,1000,8,10,C0023825,1,beta-carotene,orch,1187,1200,1000,1,10,C0053396,1,ab,"Although the greatest increase in beta-carotene was in       low-density-lipoproteins (LDL), the magnitude of increase was similar in LDL,       high-density-lipoproteins (HDL), and very-low-density-lipoproteins (VLDL).",n
P3746,7912818,INTERACTS_WITH,NOM,691,700,insulin-like growth factor I,aapp,611,639,909,4,6,C0021665,1,GRF,aapp,678,681,861,0,6,C0023610|2691,1,ab,"In order to       elucidate the effect of the growth hormone-insulin-like growth factor I       (GH-IGF-I) axis on hypothalamic GRF and SRIF synthesis, we measured levels of       mRNA coding for GRF and SRIF and for pituitary GH in pubertal male rats treated       for 3 weeks with antirat GRF gamma-globulin (GRF-ab), anti-SRIF gamma-globulin       (SRIF-ab) or both.",y
P3747,7683432,INTERACTS_WITH,NOM,635,642,fibroblast growth       factors,aapp,720,751,1000,1,6,C0016026,1,transforming growth factor beta 1,aapp,656,689,1000,1,6,C0080222|7040,1,ab,"Experiments were done to investigate the effects of the       transforming growth factor beta 1, epidermal growth factor, and fibroblast growth       factors (FGFs), which are abundant in the retina, on NOS activity.",n
P3748,9009266,INHIBITS,NOM,916,926,catalase,aapp,1152,1160,1000,7,10,C0007367,1,PEX14,gngm,910,915,790,0,1,5195,1,ab,"In cells       of both pex14-1 and a PEX14 disruption mutant, peroxisomal membrane remnants were       evident; these contained the H.polymorpha peroxisomal membrane protein Pex3p       together with a small amount of the major peroxisomal matrix proteins alcohol       oxidase, catalase and dihydroxyacetone synthase, the bulk of which resided in the       cytosol.",n
P3749,567240,INHIBITS,VERB,1800,1809,gelatin,aapp,1813,1820,1000,1,1,C0017237,1,fibronectin,aapp,1750,1761,1000,3,8,C0016055,1,ab,The binding of fibronectin to fibrinogen       was inhibited by collagen and incorporation of fibronectin into blood clot in the       cold was inhibited by gelatin.,y
P3750,3920096,INHIBITS,VERB,957,966,ethanol,orch,970,977,1000,1,1,C0001962,1,mucus glycoprotein,gngm,934,952,1000,1,3,C0026682,1,ab,The proteolytic activity of pepsin       towards mucus glycoprotein was inhibited by ethanol.,n
P3751,7796127,INTERACTS_WITH,VERB,1335,1341,aspartate,aapp,1258,1267,694,3,5,C0085845,1,tau,aapp,1364,1367,1000,2,3,4137,1,ab,"It is also unknown if the change in D-aspartate content in PHF-tau is       associated with phosphorylation, which alters the susceptibility of tau to       proteolysis.",n
P3752,8333857,STIMULATES,VERB,700,710,activin,aapp,720,727,1000,1,1,C0050668,1,progesterone,horm,635,647,1000,5,10,C0033308,1,ab,"The basal release of FSH was stimulated by activin A, testosterone (T)       and progesterone (P), and T and P also facilitated basal FSH release stimulated       by activin A.",n
P3753,1380331,INTERACTS_WITH,NOM,214,220,glycine,aapp,263,270,1000,3,6,C0017890,1,amino acid,aapp,278,288,734,4,6,C0002520,1,ti,"Effect of glutamic       acid, aspartic acid and glycine on the amino acid content of skeletal muscle of       dystrophic mice.",y
P3754,9218516,STIMULATES,ADJ,1233,1242,peptide,aapp,1203,1210,1000,1,2,C0030956,1,agonist,phsu,1385,1392,854,4,5,C0243192,0,ab,"VIP protective effects were       reproduced by a peptide derived from activity-dependent neurotrophic factor       (ADNF), a trophic factor released by VIP-stimulated astrocytes, and by stearyl       norleucine VIP, a specific VIP agonist that does not activate adenylate cyclase.",n
P3755,1995065,INHIBITS,VERB,730,739,Triton       X-100,orch,614,632,1000,8,16,C0146951,1,pHe,gngm,743,746,1000,1,1,C0031453,1,ab,"The amounts of drug bound to the nuclei at the steady state, Cn and       at the equilibrium state, CN, once the membrane has been solubilized with Triton       X-100, have been determined as a function of the pH outside the cells (pHe): Cn       increased and CN decreased as pHe increased.",n
P3756,1706263,INTERACTS_WITH,NOM,2346,2356,IGF-I,aapp,2320,2325,1000,1,4,C0021665,1,PR,aapp,2373,2375,1000,2,8,C0034833|5241,1,ab,"The present studies identify cAMP, as well as estrogen and IGF-I,       as important regulators of the level of PR in uterine cells and suggest that       multiple factors, including those affecting intracellular cAMP levels, might       influence responsiveness to progestins via regulation of the intracellular PR       content.",y
P3757,7791339,INHIBITS,NOM,859,869,TPA,gngm,855,858,888,0,0,C1367601|5327,1,glutamate,gngm,873,882,694,1,30,C0220839,1,ab,"TPA inhibition of glutamate transport had two       distinctive phases: an acute phase (< 1 hr, not affected by either cycloheximide       or actinomycin D) in which TPA decreased System xAG- glutamate transporter       affinity (TPA Km = 522 +/- 25 microM vs control Km = 329 +/- 85 microM, P < 0.01)       but did not alter transporter capacity (TPA Vmax = 4426 +/- 230 pmole/mg/min vs       control Vmax = 4535 +/- 750 pmole/mg/min, P = NS) and a chronic phase (4-24 hr)       in which TPA inhibition of glutamate transport was due to a reduced transporter       capacity (Vmax = 2895 +/- 570 pmole/mg/min) without altering transporter affinity       (Km = 370 +/- 60 microM glutamate) and was abrogated by cycloheximide or       actinomycin D.",y
P3758,9052860,INTERACTS_WITH,VERB,1272,1277,P-ITIM,aapp,1265,1271,511,1,2,C0041485,1,p 10 unidentified       tyrosine phosphorylated proteins,aapp,1303,1359,788,1,4,C0082731,1,ab,"Furthermore, we have shown that the insolubilised synthetic       peptide corresponding P-ITIM bound Shc, Lyn and the p75 and p 10 unidentified       tyrosine phosphorylated proteins.",y
P3759,91665,INHIBITS,NOM,151,161,alkaloids,orch,219,228,861,2,2,C0002062,1,reverse transcriptase,gngm,165,186,901,1,2,C0035379,1,ti,Inhibition of reverse transcriptase activity by benzophenanthridine alkaloids.,y
P3760,1697075,INTERACTS_WITH,NOM,1590,1597,proteolytic enzymes,aapp,1382,1401,901,6,10,C0030940,1,neurokinins,aapp,1601,1612,1000,1,5,C0871829,1,ab,"The present       results suggest that the urinary bladders of various species have different types       of active proteolytic enzymes: only the angiotensin-converting enzyme appears to       be present in the rat bladder, while the same enzyme and possibly two additional       endopeptidases interfere with the myotropic effects of neurokinins, kinins and       angiotensins in the guinea pig and the hamster bladder.",y
