,id,sentence1,sentence2,label,split
297,P3397,"in vitro, the augmentation of purified guanylate cyclase activity by nitroglycerin (10-100 microm) was potentiated by n-acetylcysteine (0.01-1.0 mm) in saline or in canine plasma, but n-acetylcysteine alone was ineffective.",n-acetylcysteine stimulates nitroglycerin,1,train
2515,P5615,activation of skeletal muscle phosphorylase kinase by ca2+.,ca2 stimulates muscle phosphorylase kinase,0,train
1405,P4505,a number of nitro compounds behave as electron acceptors with ascorbate in a non-enzyme-catalyzed reaction and with nadph as electron donor in an enzyme-catalyzed reaction with liver homogenate.,nitro compounds interacts with ascorbate,0,train
2736,P5836,on the other hand thermal bleaching in the dark has a high temperature dependence from which one can calculate that the reaction has an apparent activation energy of 44 kg. cal. per mole.,bleaching stimulates cal,0,train
1756,P4856,"therefore, the data suggest that beta 1- and beta 2-adrenoceptors may be present in the duct cells and activation of these receptors can modify electrolyte transport.",beta 2-adrenoceptors interacts with electrolyte,1,train
1012,P4112,"in contrast, the increase in glutamate levels was inhibited by both l-365,260 and l-364,718.","l-364,718 stimulates glutamate",0,train
2196,P5296,factors controlling the inhibition by sulfonamides of carboxylases.,sulfonamides inhibits carboxylases,1,train
2865,P5965,the effect of n-acetyl-d-galactosamine and amantadine hydrochloride on equine lymphocytes stimulated with phytohemagglutinin.,phytohemagglutinin stimulates amantadine hydrochloride,0,train
1532,P4632,"as a result of these findings, a series of experiments were designed to examine the effects of a specific dopamine agonist, skf 38393, against mcf-7 cells.",skf 38393 interacts with dopamine agonist,0,train
2936,P6036,effect of tetracyclines on formation of amines by bacteria.,amines interacts with tetracyclines,1,train
2050,P5150,inhibition of immune phagocytosis of diplococcus pneumoniae by human neutrophiles with antibody against complement.,antibody inhibits complement,1,train
794,P3894,seizure activity was seen only when atp was less than 20% depleted and was not associated with more rapid decreases in atp or pcr.,atp inhibits pcr,0,train
2961,P6061,addition of polystyrene or zymosan particles to the cell suspension resulted in up to 3-fold stimulation of incorporation of lpc-(32)p or lpe-(32)p into their respective diacyl derivatives.,polystyrene stimulates lpc,1,train
118,P3218,thiamin status usually is assessed by urinary excretion of thiamin or by exogenous thiamin pyrophosphate (tpp) stimulation of erythrocyte transketolase activity.,thiamin stimulates thiamin pyrophosphate,0,train
2623,P5723,effect of antineoplastic agents on induction of microsomal drug-metabolizing enzymes.,antineoplastic agents interacts with drug-,1,train
1029,P4129,dithizone at the concentration of 1 microm stimulated high k(+)- and veratrine-induced release of [3h]glutamate both in the presence and absence of ca2+ from rat hippocampal slices preloaded with [3h]glutamate without affecting the release of [3h]gamma-aminobutyric acid and [3h]acetylcholine.,dithizone stimulates glutamate,1,train
2962,P6062,"it was relatively resistant to heat and to penicillin or sulfadiazine, but was markedly inhibited by streptomycin, broad-spectrum antibiotics, and homologous neutralizing antiserum.",antiserum inhibits sulfadiazine,0,train
1032,P4132,these data indicate that the effects of tgf-beta in this colon carcinoma cell line are similar to those of the two differentiation promoting agents dmf and ra.,dmf interacts with tgf-beta,0,train
1612,P4712,"antiplatelet glycoprotein ib monoclonal antibody (op-f1) totally abolishes ristocetin-induced von willebrand factor binding, but has minimal effect on the botrocetin-induced binding.",monoclonal antibody inhibits ristocetin,1,train
2620,P5720,"three daily doses of actinomycin d caused a marked glycogen depletion, a significant decrease in glycogen-synthetase activity, the solubilization of phosphorylase and glycogen synthetase and the following effects on the activities of various other enzymes: a decrease in udp-glucose pyrophosphorylase and phosphoglucomutase, an increase in glucose 6-phosphate dehydrogenase and no change in glucose 6-phosphatase, 6-phosphogluconate dehydrogenase, pyruvate kinase and udp-glucose dehydrogenase.",udp-glucose dehydrogenase inhibits phosphoglucomutase,0,train
1147,P4247,"the present studies were designed to examine the direct effect of ethanol on the renal handling of 5-methyltetrahydrofolate (5-ch3-h4pteglu), the physiological folate.",5-methyltetrahydrofolate interacts with ethanol,1,train
1864,P4964,effects of long-term treatment with angiotensin-converting enzyme inhibitor on angiotensin ii and prostacyclin release from mesenteric arteries in spontaneously hypertensive rats.,angiotensin-converting enzyme inhibitor interacts with angiotensin ii,1,train
713,P3813,the effects of 12 beta-carboline derivatives on the binding of l-tryptophan and diazepam to bovine and human albumin have been investigated to seek similarities between the indole binding site on albumin and the benzodiazepine receptor in the brain.,l-tryptophan interacts with beta-carboline,1,train
1890,P4990,we propose that the association of a gh binding protein with the nucleus may provide a means whereby gh can regulate the transcription of specific genes either directly or indirectly through nuclear kinase c activation.,gh interacts with genes,0,train
1374,P4474,"using a specific antibody raised against glutamate (glu) conjugated to bovine serum albumin with glutaraldehyde, the distribution of glu-like immunoreactivity was studied by postembedding staining in semithin sections of nonosmicated or osmicated tissue through the vestibular sensory epithelia and ganglia of different mammalian species (mouse, rat and cat).",specific antibody stimulates glutamate,0,train
1630,P4730,"mithramycin is a commercially available g-c-specific dna binding drug that selectively inhibits transcription of genes, such as c-myc, that have g-c-rich promoter sequences.",mithramycin inhibits c-myc,1,train
1117,P4217,"these results indicate that both dup753 and pd123329, administered into the pvn, blocked the water and sodium intake induced by administration of ang ii into the same site.",dup753 inhibits water,1,train
2145,P5245,[changes in the tyrosine-alpha ketoglutaric transaminase (tkt) activity of liver induced by numerous drugs].,drugs stimulates tyrosine-alpha ketoglutaric transaminase,1,train
2302,P5402,effect of new adrenal steroids on electrolyte and water excretion.,steroids interacts with electrolyte,1,train
187,P3287,"limited proteolysis of protein kinase c (pkc) subspecies with ca2(+)-dependent neutral protease ii (calpain ii) was remarkably stimulated by basic polypeptides, such as h1 histone and poly-l-lysine.",ca2 stimulates lysine,0,train
2881,P5981,[the remarkable effect of a combination of iodochloroxyquinoline with a subactive dose of streptomycin on experimental tuberculosis in guinea pigs].,streptomycin interacts with iodochloroxyquinoline,1,train
2422,P5522,"investigations on the effect of an oral contraceptive and its components on liver function, serum proteins, copper, coeruloplasmin and gamma-glutamyl peptidase in postmenopausal women.",peptidase interacts with oral contraceptive,1,train
103,P3203,"role of nmda, ampa and kainate receptors in mediating glutamate- and 4-ap-induced dopamine and acetylcholine release from rat striatal slices.",kainate receptors interacts with glutamate,0,train
427,P3527,"the degradation of one such species, h2o2, is catalyzed by catalase and glutathione peroxidase (gsh px).",catalase interacts with h2o2,1,train
1481,P4581,the spectrum of antibiotic sensitivity to such changes was cefazolin = cephaloridine greater than cefamandole greater than cephalothin greater than cefoxitin = nafcillin.,cefazolin interacts with antibiotic,0,train
1969,P5069,"a small decrease in progesterone inhibition of t. utilis was obtained by adding ergosterol, cholesterol, or pregnenolone.",ergosterol inhibits progesterone,0,train
2207,P5307,"[on the inhibition of adenosinetriphosphatase of the liver mitochondria, activated by 2,4 dinitrophenol].",dinitrophenol inhibits adenosinetriphosphatase,1,train
1494,P4594,"when the effect of each agonist was tested on ivf granulosa luteal cells, hcg but not fsh or igf-i stimulated basal progesterone levels but the hcg effect required a two-day lag phase.",hcg interacts with agonist,0,train
2525,P5625,"the stimulatory effect of ;sparker' amounts of l-glutamate on propionate metabolism was matched by the effects of alpha-oxoglutarate, pyruvate, citrate and isocitrate, but not by succinate, fumarate, malate or oxaloacetate.",fumarate interacts with isocitrate,0,train
1781,P4881,"the influence of bradykinin and bradykinin in conjunction with norepinephrine, epinephrine, isoprenaline, phentolamine and propranolol on the work of the isolated rat heart was studied.",phentolamine interacts with bradykinin,0,train
692,P3792,"in view of the role of insulin-like growth factor-i (igf-i) in the regulation of collagen type i synthesis and degradation, and low serum igf-i concentrations in sga infants, we hypothesized that serum picp would be lower and serum ictp would be higher in sga than in aga infants, reflecting decreased bone collagen type i biosynthesis or enhancement of bone collagen type i degradation in sga.",picp interacts with igf-i,0,train
885,P3985,"because alcohol is the single most common drug ingested by patients, common interactions of drugs that have dental significance should be suspect.",alcohol interacts with drugs,1,train
788,P3888,we postulate that corticosterone directly regulates amylase synthesis in the rat pancreas.,corticosterone interacts with amylase,1,train
2027,P5127,an investigation of the role of fumarate and pyridine nucleotides in the enzymic 11beta-hydroxylation of 11-deoxycorticosterone.,fumarate interacts with 11-deoxycorticosterone,1,train
2675,P5775,effects of adrenal medullary hormones on renal excretion of water and electrolytes.,electrolytes interacts with adrenal medullary hormones,1,train
1563,P4663,"the present studies demonstrate that: (1) the thermostability is not a satisfactory index to differentiate these isoenzymes; (2) the thiol/disulphide exchange may be involved in the regulation of mg(2+)-dependent pph activity; and (3) the pph isoenzymes do not seem to be under g-protein control in adipose tissue, as reported previously in the mesangial cell line.",pph interacts with g-protein,0,train
2951,P6051,"the concentration of pontocaine hydrochloride in the cerebrospinal fluid during spinal anesthesia, and the influence of epinephrine in prolonging the sensory anesthetic effect.",pontocaine hydrochloride interacts with anesthetic,0,train
2218,P5318,"fundamental studies of cycloserine, especially its effects upon dehydrogenase and catalase of tubercle bacilli.",cycloserine interacts with dehydrogenase,1,train
1650,P4750,"since pt is cytotoxic because of adp-ribosylation of g-proteins, we assume that the endogenously expressed pts1 may not find the cellular target g proteins or pts1 alone may not be sufficient for adp-ribosylation of these proteins in vivo.",pt interacts with g proteins,0,train
1697,P4797,"in conclusion our data show that, (1) individual reactivity to novelty can predict individual vulnerability to the psychomotor effects of opioids, and (2) stress-induced corticosterone secretion may play a role in determining individual differences in sensitivity to these drugs.",corticosterone interacts with opioids,1,train
1582,P4682,incubation of vascular smc with various numbers of am in the presence of il-1beta (5 units/ml) and tnfalpha (10 units/ml) induced a great increase of ltb(4) synthesis in comparison with the detectable levels of ltb(4) produced by macrophages alone.,ltb stimulates ltb,0,train
2974,P6074,enzymatic conversion of thyroxine to tetraiodothyroacetic acid and of triiodothyronine to triiodothyroacetic acid.,thyroxine interacts with triiodothyronine,0,train
2848,P5948,effect of sulphonamides on the phagocytic activity of the reticulo-endothelial system.,endothelial interacts with sulphonamides,1,train
984,P4084,kinetic studies on the effect of ornithine concentration on citrulline synthesis in mitochondria showed that the km for ornithine was very low in the mitochondria from the mice given a low-protein diet.,ornithine interacts with citrulline,1,train
2380,P5480,chlorosulfonic acid in the synthesis of ddt and its p-halogen analogues.,chlorosulfonic acid interacts with ddt,1,train
1306,P4406,interaction of glutathione derivatives with brain 2-amino-3-hydroxy-5-methyl-4-isoxazole propionate (ampa) receptors.,methyl-4-isoxazole propionate interacts with glutathione,1,train
2791,P5891,inhibition of dna polymerase by histones.,histones inhibits polymerase,1,train
2673,P5773,oxidation of glyoxylic acid to oxalic acid by glycolic acid oxidase.,glycolic acid oxidase interacts with glyoxylic acid,1,train
985,P4085,differential induction of serine: pyruvate amino-transferase (spt) in rat liver parenchymal cells by administration of glucagon or di-(2-ethylhexyl)phthalate (dehp) was studied using post-embedding immunocytochemical techniques and morphometric methods.,glucagon stimulates serine,0,train
2598,P5698,"the effect of aminoguanidine, histamine, chlorpromazine and antibacterial agents on histidine decarboxylase in the stomach of the rat.",chlorpromazine interacts with histidine decarboxylase,1,train
848,P3948,"we studied the effect of 17 beta-estradiol on ischemia-induced increases in extracellular amino acids (aspartate, glutamate, glycine, and taurine) in the gerbil hippocampal ca1 region by a microdialysis-high-performance liquid chromatography system in vivo.",17 beta-estradiol stimulates glutamate,0,train
1223,P4323,"e. coli responds to such drugs by inducing the soxrs regulon, which positively regulates synthesis of sod and other defensive proteins.",regulon interacts with sod,1,train
1256,P4356,"pretreatment of rats with 1,3-dimethylthiourea, an antioxidant, significantly reduced haem oxygenase-1 protein induction by phencyclidine.",antioxidant inhibits phencyclidine,1,train
752,P3852,antibodies raised against a peptide synthesized based on the 21 amino acid insert found in chickens recognize a mhc isoform in the same tissues that are enriched for the mrna.,antibodies stimulates peptide,0,train
766,P3866,five peptides were synthesized on the basis of amino acid sequences predicted from the transformation-associated bamhi wyh region of the genome of the epstein-barr virus (ebv).,peptides interacts with genome,0,train
1893,P4993,ectopic expression of the erythropoietin receptor in a murine interleukin-6-dependent plasmacytoma cell line (tepc-2027) confers proliferative responsiveness to erythropoietin.,erythropoietin receptor stimulates erythropoietin,1,train
1013,P4113,binding of 3h-gaba and 3h-muscimol was inhibited by unlabelled gaba and by the gaba antagonist bicuculline.,bicuculline inhibits 3h-gaba,1,train
2124,P5224,the influence of drugs on the duration of hexobarbital and hydroxydione narcosis in mice.,hydroxydione interacts with drugs,1,train
1604,P4704,"a series of three experiments examined the effects of atropine, scopolamine, and their methyl analogs on tonic immobility in chickens.",scopolamine interacts with atropine,0,train
2501,P5601,the enzymatic conversion of phytoene to phytofluene.,phytoene interacts with phytofluene,0,train
2410,P5510,[contribution to the study of the effects of antibiotics on the formation of antibodies].,antibodies interacts with antibiotics,1,train
2614,P5714,the action of follicle stimulating hormone and of human chorionic gonadotrophin upon steroid synthesis by rabbit ovarian tissues in vitro.,human chorionic gonadotrophin interacts with steroid,1,train
71,P3171,"glutamic acid, glutamine and serine were poor acceptors, and the enzyme activity was inhibited by these amino acids.",glutamic acid inhibits serine,0,train
158,P3258,"furthermore, tgf-beta itself increased the furin mrna levels.",tgf-beta stimulates furin,1,train
1898,P4998,"administration of sch-23390 into the same hemisphere as skf-38393 was effective in reversing the behavioral effects of the agonist, with left ih injections showing more immediate and complete blockade of agonist-induced behavioral activation.",skf-38393 interacts with agonist,0,train
176,P3276,"kainate (20-100 microm) released [3h]gaba preaccumulated by a2b5-positive stellate astrocytes in a concentration-, na+- and ca2+-dependent way, and did not interfere with [3h]gaba transport.",kainate stimulates gaba,1,train
2150,P5250,determination of urinary 17-ketogenic steroids by means of sodium metaperiodate oxidation.,17-ketogenic steroids interacts with sodium metaperiodate,1,train
1664,P4764,"because aerosolized administration of antiasthmatic drugs is effective and safe, this study examined the effect of aerosolized txa2 receptor antagonist (s-1452) on allergic bronchoconstriction in passively sensitized and mechanically ventilated guinea pigs.",antiasthmatic drugs inhibits txa2 receptor,0,train
2696,P5796,"subtilin is tensioactive, and amounts required for antibiotic effect are within the range of surface tension activity.",subtilin interacts with antibiotic,1,train
2292,P5392,"the effect of antibacterial agents on the intestinal flora of patients: the use of aureomycin, chloromycetin, dihydrostreptomycin, sulfasuxidine and sulfathalidine.",sulfathalidine interacts with antibacterial agents,0,train
302,P3402,"the enzyme contained no flavin but reduced riboflavin, fmn, and fad by nadh, or riboflavin and fmn by nadph.",flavin inhibits riboflavin,0,train
505,P3605,"however, once methionine was oxidized to methionine sulfoxide, it was readily decarboxylated by the mpo system.",methionine interacts with methionine sulfoxide,0,train
862,P3962,"in contrast, after, ghrh administration, igf-i levels were decreased only with oral estrogens, whereas igfbp-3 levels were decreased with both oral (younger women only) and transdermal (younger and older women) estrogens.",estrogens inhibits igf-i,1,train
803,P3903,"these data strongly support the view that ferric iron is acting as an hydrogen acceptor in respiration, competing with nitrate for electrons that are mediated by the enzyme nitrate reductase.",nitrate reductase interacts with nitrate,0,train
2841,P5941,regeneration of flagella occurred in both cultures in the presence of chloramphenicol at concentrations shown to inhibit flagellin synthesis.,chloramphenicol inhibits flagellin,1,train
1242,P4342,characterization of glucocorticoid inhibition of antigen-induced inositolphosphate formation by rat basophilic leukemia cells: possible involvement of phosphatases.,phosphatases inhibits glucocorticoid,1,train
502,P3602,"the effects of antihistamines on psychomotor reflexes and driving, antihistamine-induced drowsiness, and interaction of antihistamines with alcohol and tranquilizers have been studied with numerous methodologies.",alcohol interacts with antihistamines,1,train
735,P3835,"in addition, it can be assumed that the control of glutamate and aspartate extracellular levels may involve different metabotropic receptors.",glutamate interacts with metabotropic receptors,1,train
2329,P5429,actinomycin: inhibition of cortisone-induced synthesis of hepatic gluconeogenic enzymes.,actinomycin interacts with cortisone-induced,1,train
2811,P5911,[relation between adrenalin sensitivity and pressor effects of the purines].,purines interacts with adrenalin,1,train
2926,P6026,the effect of a single intravenous injection of aminonucleoside of puromycin on the rat kidney: a light- and electron-microscope study.,puromycin interacts with aminonucleoside,0,train
36,P3136,"a stretch of 15 amino acids, immediately before the second transmembrane domain of the beta subunit, was identified as the domain conferring lower amiloride affinity to the alpha beta channels.",amino acids interacts with amiloride,1,train
2543,P5643,the role of proteolytic enzymes in the transformation of lipoproteins with regard to the formation of lipidic prealbumin.,prealbumin interacts with lipoproteins,0,train
90,P3190,gamma-vinyl gaba (gvg) is a new anticonvulsant drug that enhances levels of gaba in the brain by irreversibly inhibiting gaba transaminase.,gamma-vinyl gaba stimulates gaba,1,train
435,P3535,"pharmacologic doses of folate, in the absence of clinical folate deficiency, can reduce plasma levels of the putatively atherothrombotic amino acid, homocysteine (h(e)).",folate inhibits amino acid,1,train
978,P4078,"the new multiple sequence alignment reveals amino acids likely to participate in the parallel beta helix motif, those involved in binding ca2+, and those invariant amino acids with potential catalytic properties.",amino acids interacts with ca2,0,train
2364,P5464,effect of hexadimethrine bromide on aldosterone and corticosterone production by the rat adrenal.,hexadimethrine bromide interacts with aldosterone,1,train
14,P3114,the binding of fgf to the ecm is negligible when the ecm has been pretreated with heparinase or heparitinase suggesting that the mitogen is interacting with a heparin-like glycosaminoglycan in the ecm.,heparitinase interacts with fgf,0,train
974,P4074,"with o-aminophenyl glucuronide formation, complete protection was given by glutathione and cysteine against the organic mercurials, n-ethylmaleimide and iodoacetamide, and partial protection against the arsenicals.",cysteine interacts with mercurials,1,train
91,P3191,"at physiological concentrations, zinc stimulates the activity of pyridoxal kinase, enhancing the formation of pyridoxal phosphate, which in turn enhances the activity of glutamic acid decarboxylase.",pyridoxal kinase stimulates pyridoxal phosphate,1,train
1316,P4416,that a peptide must bind to an mhc molecule to interact with a t-cell antigen receptor is the molecular basis of the mhc restriction of antigen-recognition by t lymphocytes.,peptide interacts with mhc,1,train
912,P4012,"we have investigated the specificity of the protein kinase activity intrinsic to fsv p130gag-fps by using site-directed mutagenesis to change the codon for tyr-1073 to those for the other commonly phosphorylated hydroxyamino acids, serine and threonine.",fps interacts with serine,0,train
2080,P5180,the metabolism of cinchonine in relation to its antimalarial activity.,cinchonine interacts with antimalarial,0,train
1752,P4852,"it is suggested that defensins, among the most potent peptide inhibitors of pkc so far identified, may have profound effects on functions of neutrophils and other mammalian cells, in addition to their well-recognized antimicrobial activities.",defensins inhibits pkc,1,train
1148,P4248,"we have found that the stimulatory effect of glutamate and/or 1s,3r-acpd on camp accumulation predominates in young animals and decreases in the adults.",3r-acpd interacts with glutamate,0,train
2268,P5368,[chemistry of substituted thiosemicarbazides and thioureas. v. contribution on the synthesis and conversion of 1-substituted thiocarbamylethylene-imines in n-substituted derivatives of 2-amino-2-thiazoline].,2-amino-2-thiazoline interacts with imines,0,train
2513,P5613,[the effect of antibiotics on the formation of specific antibodies in typhus infections].,specific antibodies interacts with antibiotics,0,train
2304,P5404,thyroxine and luteinizing hormone restored the citrate-cleavage enzyme activity of testes and increased the activity of hexokinase from the low value after hypophysectomy.,luteinizing hormone stimulates hexokinase,1,train
625,P3725,"in all 3 groups, the indices of rapid turnover proteins (pre-albumin, retinol binding protein and transferrin), choline esterase and vitamin a significantly elevated after 2 weeks of therapy, though the increase of pre-albumin and rbp in tpn group was slightly below the significant level.",esterase stimulates albumin,0,train
223,P3323,"in addition, we have identified three domains of 19, 20, and 29 nucleotides long that specifically bind a 65-kilodalton (kda) cytoplasmic protein.",nucleotides interacts with cytoplasmic protein,0,train
651,P3751,"it is also unknown if the change in d-aspartate content in phf-tau is associated with phosphorylation, which alters the susceptibility of tau to proteolysis.",aspartate interacts with tau,0,train
1325,P4425,"after treating ilea with the mu-specific irreversible antagonist beta-fna (beta-funaltrexamine) (resulting in a preparation with relatively pure kappa receptor population), the antagonist effect of caffeine against morphine was reduced such that only a concentration of 1 mm resulted in significant antagonism, while the effects of caffeine against nalorphine were unchanged.",morphine interacts with caffeine,1,train
2195,P5295,"effect of continuous feeding of chlortetracycline, sulfaethoxypyridazine, sulfaquinoxaline, and chlortetracyclie-sulfaethoxypyridazine combinations on the development of resistance by salmonella gallinarum in chickens.",sulfaethoxypyridazine interacts with chlortetracycline,0,train
2905,P6005,action of antihistamines and tranquilizers on the conversion of fibrinogen to fibrin.,fibrinogen interacts with fibrin,0,train
1907,P5007,"the effects of compounds i and i' were competitive and inconsistent with a classical concept on the dual activity of mao, i. e., deamination of tyramine, a substrate common for mao type a and mao type b was inhibited in a greater degree than the deamination of specific substrates of mao type a (serotonin) or type b (2-phenylethylamine).",mao type b interacts with mao type a,0,train
638,P3738,the distribution of retinol between these two proteins was consistent with the nearly 100-fold higher affinity of crbp for retinol compared with irbp.,crbp interacts with retinol,1,train
2826,P5926,"they showed a remarkable fluctuation of sensitivity to ampicillin, cefaloridine, cefalotin and sulfafurazole, and a high resistance to benzylpenicillin sodium, oleandomycin and spiramycin.",oleandomycin interacts with cefaloridine,0,train
2711,P5811,"effect of thiocyanate, perchlorate and other anions on plasma protein-thyroid hormone interaction in vitro.",perchlorate interacts with thyroid hormone,1,train
512,P3612,at the same time the influence of these agonists on depletion of energy-rich phosphates and cellular damage was assessed.,phosphates interacts with agonists,1,train
116,P3216,"in addition, the centrally mediated inhibition of salt and water excretion via the supraorbital salt glands, as well as vasoconstriction and tachycardia, indicate that angiotensin ii plays a major role as a central modulator in the homeostasis of the volume of the extracellular fluid compartment as well as its tonicity.",angiotensin ii inhibits water,0,train
2573,P5673,the effect of parathyroid hormone on adenyl cyclase in rat kidney.,parathyroid hormone interacts with adenyl cyclase,1,train
2420,P5520,synthesis of 2-nitrosofluorene by peracetic acid oxidation of 2-aminofluorene.,2-aminofluorene interacts with 2-nitrosofluorene,0,train
750,P3850,"the following was found: (1) cgl reduced the oxidation and uptake of butyrate after in vitro (2000 micrograms/ml, immediate effect) and after in vivo (300 mg/kg body weight, 1 hr before killing) exposure; (2) cld caused milder in vitro toxicity, and no significant in vivo toxicity, to mitochondrial butyrate metabolism; (3) like cld, cgl reduced pcarn-mediated respiration after in vivo exposure, but, unlike cld, it did not inhibit respiration with pcarn in vitro; (4) the carn carrier was stimulated slightly by in vitro cgl but was unaffected by in vivo cgl; (5) in vivo cgl had no effect on mitochondrial free carn or long-chain acylcarn concentrations in the in situ kidney; (6) cgl increased the excretion of carn minimally compared with the effect of cld; and (7) cephalexin, a nontoxic cephalosporin, caused mild reductions of respiration with butyrate and pcarn during in vitro exposure, but stimulated respiration with bot",carn interacts with cld,0,train
1769,P4869,p53 negatively regulates cdc2 transcription via the ccaat-binding nf-y transcription factor.,p53 interacts with cdc2,1,train
2087,P5187,estradiol induction of pyruvate kinase in the rat uterus.,estradiol stimulates pyruvate kinase,1,train
183,P3283,"after culturing for two weeks, elastin in the media of three groups was respectively determined by western blotting from sodium dodecylsulfate-polyacrylamide gel electrophoresis using anti-human aortic alpha-elastin rabbit serum, biotin conjugated goat anti-rabbit igg and anti-biotin conjugated horse radish peroxidase.",biotin interacts with peroxidase,0,train
2909,P6009,"oxidation of 1-methyluracil yields 5,6-dihydro-4,5,6-trihydroxy-1-methyl-2-pyrimidone.",pyrimidone interacts with 1-methyluracil,0,train
23,P3123,a model of membrane-bound multienzyme complexes is proposed for the conversion of aromatic amino acids into phenols.,aromatic amino acids interacts with phenols,0,train
1616,P4716,"the ability of azone (1-dodecylazacylcoheptan-2-one), a recently developed penetration enhancer, to facilitate the transport of sodium salicylate across an artificial lipid membrane has been investigated using the rotating diffusion cell, a well defined model for percutaneous absorption.",azone stimulates sodium salicylate,1,train
338,P3438,"amino acid interactions in nutrition, especially between arginine and lysine.",lysine interacts with amino acid,0,train
6,P3106,"alkylating peptides with prolonged biological activity containing phenylalanine mustard in place of arginine, phenylalanine or methionine are inhibitors of alpha melanotropin, suggesting an irreversible binding to reactive nucleophiles on the part of the msh receptor, where the met-glu-his-phe-arg sequence is attached.",arginine inhibits alpha melanotropin,0,train
2631,P5731,"[the influence of age on the conversion of phenacetin, p-phenetidin, n-acetyl-p-aminophenol, p-aminophenol and aniline in the dog].",aniline interacts with phenacetin,0,train
1609,P4709,"nonsteroidal anti-inflammatory drugs differentially regulate cytokine production in human lymphocytes: up-regulation of tnf, ifn-gamma and il-2, in contrast to down-regulation of il-6 production.",tnf inhibits il-6,0,train
2602,P5702,the pressor effect of large doses of physostigmine on the pithed rat.,pressor interacts with physostigmine,0,train
27,P3127,"resistance of muscle proteins to the trypsin effect was unaltered, while the rate of pronase-induced hydrolysis was slightly increased, about 1.2-fold.",muscle proteins interacts with trypsin,1,train
2532,P5632,"dopamine, epinine, norphenylephrine, phenylephrine, octopamine, synephrine and isoprenaline in the absence of monoamine oxidase inhibition had no effect.",phenylephrine inhibits monoamine oxidase,0,train
1791,P4891,"strain also modulated differentiation independently of its mitogenic effects, selectively stimulating dipeptidyl dipeptidase while inhibiting alkaline phosphatase.",dipeptidyl dipeptidase inhibits alkaline phosphatase,0,train
1305,P4405,"after preliminary deproteinization and removal of amino acids, reduction with sodium cyanoborohydride at 105 degrees c resulted in efficient conversion of the keto acids to their corresponding amino acids.",keto acids interacts with amino acids,0,train
2200,P5300,"chloramphenicol, streptomycin and cycloheximide inhibit the synthesis of chloroplast rna with little effect on cytoplasmic rna.",streptomycin interacts with chloroplast rna,1,train
436,P3536,"peptides inhibitory to endopeptidase and aminopeptidase from lactococcus lactis ssp. lactis mg1363, released from bovine beta-casein by chymosin, trypsin or chymotrypsin.",peptides inhibits endopeptidase,1,train
2286,P5386,on the inactivation of thrombin by plasma protein.,plasma protein inhibits thrombin,1,train
1685,P4785,"the observations were as followed: (a) cd23 on normal b cells or b cell hybridomas mediated ige-dependent perinatal ige tolerance and total ige deficiency; and lack of either antigen-specific ige or total ige did not correlate with elevated levels of autologous anti-ige in individual mice; (b) ige tolerance-inducing capacity of cd23+ b cell hybridomas was augmented by treatment with antigen-ige complexes or interleukin 4, and significantly inhibited by anti-cd23 prior to ige pulsing; (c) antigen-ige complexes were endocytosed and degraded in acid hydrolases-containing vesicles; and ige tolerance was abrogated by treating ige-pulsed 17a11 at 4 degrees c or 20 degrees c followed immediately by fixation, and by treating ige-pulsed 17a11 with metabolic inhibitors that elevated intracellular ph of the endocytic vesicles.",cd23 stimulates ige,0,train
1329,P4429,"covalent adducts of nad+ with pyruvate and 2-oxoglutarate have been reported to inhibit differentially the activities of bovine glutamate dehydrogenase (gdh) towards these two oxoacid substrates, implying separate active sites.",pyruvate inhibits glutamate dehydrogenase,1,train
1079,P4179,"the lipase was inhibited by hg2+, ag2+, p-chloromercuribenzoate, diethylpyrocarbonate and sodium dodecyl sulfate.",chloromercuribenzoate inhibits lipase,1,train
2444,P5544,adrenal and pituitary hormone effect on liver arginase.,pituitary hormone interacts with liver arginase,1,train
56,P3156,"during the first hour of incubation, the rate of [3h]retinol accumulation by hkc was about 40 times greater when the vitamin was added directly to the media rather than bound to rbp.",retinol interacts with rbp,0,train
185,P3285,"preloading of vesicles with glutamine did not effect subsequent entry of labeled glutamine (no transstimulation), whereas intravesicular alanine did enhance alanine but not glutamine entry.",glutamine stimulates alanine,0,train
2695,P5795,inhibition of eledoisin by morin on the isolated guinea pig ileum.,morin inhibits eledoisin,0,train
562,P3662,"cetyltrimethylammonium bromide, sodium laurylphosphate, and polyoxyethylene sorbitan monolaurate were found to increase the transport rate of glutamic acid, but not of aspartic acid.",cetyltrimethylammonium bromide stimulates glutamic acid,1,train
2232,P5332,on the conversion of anthranilic acid to indole.,anthranilic acid interacts with indole,0,train
1159,P4259,"thus, in addition to the profound depressor effect of large doses of centrally administered gaba, very low doses (25-100 micrograms, ivt) of this amino acid can alter the pressor responses caused by ivt injection of aii and hypertonic csf.",amino acid interacts with gaba,0,train
1585,P4685,"monoclonal antibodies were raised against prostate-specific antigen (psa) by immunization with purified free psa, i.e. not in complex with any protease inhibitor (f-psa) and psa in complex with alpha1-anti-chymotrypsin (psa-act).",monoclonal antibodies stimulates prostate-specific antigen,0,train
1385,P4485,"furthermore, we have shown that the insolubilised synthetic peptide corresponding p-itim bound shc, lyn and the p75 and p 10 unidentified tyrosine phosphorylated proteins.",p-itim interacts with shc,1,train
